Device: cuda
Dataset: cityscapes, Train set: 13206, Val set: 1513
[!] Retrain
Epoch 1, Itrs 100/5000, Loss=0.686355
Epoch 1, Itrs 200/5000, Loss=0.615212
Epoch 1, Itrs 300/5000, Loss=0.657701
Epoch 1, Itrs 400/5000, Loss=0.708703
Epoch 1, Itrs 500/5000, Loss=0.669895
Epoch 1, Itrs 600/5000, Loss=0.622109
Epoch 1, Itrs 700/5000, Loss=0.663061
Epoch 1, Itrs 800/5000, Loss=0.746040
Epoch 1, Itrs 900/5000, Loss=0.732685
Epoch 1, Itrs 1000/5000, Loss=0.850762
Epoch 1, Itrs 1100/5000, Loss=0.679378
Epoch 1, Itrs 1200/5000, Loss=0.704549
Epoch 1, Itrs 1300/5000, Loss=0.596394
Epoch 1, Itrs 1400/5000, Loss=0.562402
Epoch 1, Itrs 1500/5000, Loss=0.766195
Epoch 1, Itrs 1600/5000, Loss=0.539206
Epoch 1, Itrs 1700/5000, Loss=0.601383
Epoch 1, Itrs 1800/5000, Loss=0.859688
Epoch 1, Itrs 1900/5000, Loss=0.939421
Epoch 1, Itrs 2000/5000, Loss=0.535794
Epoch 1, Itrs 2100/5000, Loss=0.867211
Epoch 1, Itrs 2200/5000, Loss=0.788472
Epoch 1, Itrs 2300/5000, Loss=0.523092
Epoch 1, Itrs 2400/5000, Loss=0.608687
Epoch 1, Itrs 2500/5000, Loss=0.562685
Epoch 1, Itrs 2600/5000, Loss=0.565633
Epoch 1, Itrs 2700/5000, Loss=0.519656
Epoch 1, Itrs 2800/5000, Loss=0.528322
Epoch 1, Itrs 2900/5000, Loss=0.628117
Epoch 1, Itrs 3000/5000, Loss=0.611776
Epoch 1, Itrs 3100/5000, Loss=0.859357
Epoch 1, Itrs 3200/5000, Loss=0.627121
Epoch 1, Itrs 3300/5000, Loss=0.584183
Epoch 2, Itrs 3400/5000, Loss=0.565625
Epoch 2, Itrs 3500/5000, Loss=0.532076
Epoch 2, Itrs 3600/5000, Loss=0.623605
Epoch 2, Itrs 3700/5000, Loss=0.505823
Epoch 2, Itrs 3800/5000, Loss=0.564331
Epoch 2, Itrs 3900/5000, Loss=0.657363
Epoch 2, Itrs 4000/5000, Loss=0.563794
Epoch 2, Itrs 4100/5000, Loss=0.660325
Epoch 2, Itrs 4200/5000, Loss=0.525109
Epoch 2, Itrs 4300/5000, Loss=0.658978
Epoch 2, Itrs 4400/5000, Loss=0.689242
Epoch 2, Itrs 4500/5000, Loss=0.515913
Epoch 2, Itrs 4600/5000, Loss=0.517161
Epoch 2, Itrs 4700/5000, Loss=0.566990
Epoch 2, Itrs 4800/5000, Loss=0.516819
Epoch 2, Itrs 4900/5000, Loss=0.634561
Epoch 2, Itrs 5000/5000, Loss=0.597836
Epoch 2, Itrs 5100/5000, Loss=0.570389
Epoch 2, Itrs 5200/5000, Loss=0.616920
Epoch 2, Itrs 5300/5000, Loss=0.612668
Epoch 2, Itrs 5400/5000, Loss=0.561604
Epoch 2, Itrs 5500/5000, Loss=0.506877
Epoch 2, Itrs 5600/5000, Loss=0.726164
Epoch 2, Itrs 5700/5000, Loss=0.771456
Epoch 2, Itrs 5800/5000, Loss=0.742182
Epoch 2, Itrs 5900/5000, Loss=0.475117
Epoch 2, Itrs 6000/5000, Loss=0.661809
Epoch 2, Itrs 6100/5000, Loss=0.813593
Epoch 2, Itrs 6200/5000, Loss=0.542963
Epoch 2, Itrs 6300/5000, Loss=0.909515
Epoch 2, Itrs 6400/5000, Loss=0.757560
Epoch 2, Itrs 6500/5000, Loss=0.824707
Epoch 2, Itrs 6600/5000, Loss=0.603626
